# taxa  Frequency(n)   propn
   0           0       0.0000
   1           2       0.0018
   2           1       0.0009
   3           0       0.0000
   4           0       0.0000
   5           1       0.0009
   6           1       0.0009
   7           1       0.0009
   8           1       0.0009
   9           0       0.0000
  10           1       0.0009
  11           1       0.0009
  12           1       0.0009
  13           1       0.0009
  14           2       0.0018
  15           1       0.0009
  16           3       0.0027
  17           7       0.0063
  18           2       0.0018
  19          11       0.0099
  20        1070       0.9666

# Microbiome strings for all 1107 hosts 
#    1   11111111111111111111  20   
#    2   11111111111111111111  20   
#    3   11111111111111111111  20   
#    4   11111111111111111111  20   
#    5   11111111111111111111  20   
#    6   11111111111111111111  20   
#    7   11111111111111111111  20   
#    8   11111111111111111111  20   
#    9   11111111111111111111  20   
#   10   11111111111111111111  20   
#   11   11111111111111111111  20   
#   12   11111111111111111111  20   
#   13   11111111111111111111  20   
#   14   11111111111111111111  20   
#   15   11111111111111111111  20   
#   16   11111111111111111111  20   
#   17   11111111111111111111  20   
#   18   11111111111111111111  20   
#   19   11111111111111111111  20   
#   20   11111111111111111111  20   
#   21   11111111111111111111  20   
#   22   11111111111111111111  20   
#   23   11111111111111111111  20   
#   24   11111111111111111111  20   
#   25   11111111111111111111  20   
#   26   11111111111111111111  20   
#   27   11111111111111111111  20   
#   28   11111111111111111111  20   
#   29   11111111111111111111  20   
#   30   11111111111111111111  20   
#   31   11111111111111111111  20   
#   32   11111111111111111111  20   
#   33   11111111111111111111  20   
#   34   11111111111111111111  20   
#   35   11111111111111111111  20   
#   36   11111111111111111111  20   
#   37   11111111111111111111  20   
#   38   11111111111111111111  20   
#   39   11111111111111111111  20   
#   40   11111111111111111111  20   
#   41   11111111111111111111  20   
#   42   11111111111111111111  20   
#   43   11111111111111111111  20   
#   44   11111111111111111111  20   
#   45   11111111111111111111  20   
#   46   11111111111111111111  20   
#   47   11111111111111111111  20   
#   48   11111111111111111111  20   
#   49   11111111111111111111  20   
#   50   11111111111111111111  20   
#   51   11111111111111111111  20   
#   52   11111111111111111111  20   
#   53   11111111111111111111  20   
#   54   11111111111111111111  20   
#   55   11111111111111111111  20   
#   56   11111111111111111111  20   
#   57   11111111111111111111  20   
#   58   11111111111111111111  20   
#   59   11111111111111111111  20   
#   60   11111111111111111111  20   
#   61   11111111111111111111  20   
#   62   11111111111111111111  20   
#   63   11111111111111111111  20   
#   64   11111111111111111111  20   
#   65   11111111111111111111  20   
#   66   11111111111111111111  20   
#   67   11111111111111111111  20   
#   68   11111111111111111111  20   
#   69   11111111111111111111  20   
#   70   11111111111111111111  20   
#   71   11111111111111111111  20   
#   72   11111111111111111111  20   
#   73   11111111111111111111  20   
#   74   11111111111111111111  20   
#   75   11111111111111111111  20   
#   76   11111111111111111111  20   
#   77   11111111111111111111  20   
#   78   11111111111111111111  20   
#   79   11111111111111111111  20   
#   80   11111111111111111111  20   
#   81   11111111111111111111  20   
#   82   11111111111111111111  20   
#   83   11111111111111111111  20   
#   84   11111111111111111111  20   
#   85   11111111111111111111  20   
#   86   11111111111111111111  20   
#   87   11111111111111111111  20   
#   88   11111111111111111111  20   
#   89   11111111111111111111  20   
#   90   11111111111111111111  20   
#   91   11111111111111111111  20   
#   92   11111111111111111111  20   
#   93   11111111111111111111  20   
#   94   11111111111111111111  20   
#   95   11111111111111111111  20   
#   96   11111111111111111111  20   
#   97   11111111111111111111  20   
#   98   11111111111111111111  20   
#   99   11111111111111111111  20   
#  100   11111111111111111111  20   
#  101   11111111111111111111  20   
#  102   11111111111111111111  20   
#  103   11111111111111111111  20   
#  104   11111111111111111111  20   
#  105   11111111111111111111  20   
#  106   11111111111111111111  20   
#  107   11111111111111111111  20   
#  108   11111111111111111111  20   
#  109   11111111111111111111  20   
#  110   11111111111111111111  20   
#  111   11111111111111111111  20   
#  112   11111111111111111111  20   
#  113   11111111111111111111  20   
#  114   11111111111111111111  20   
#  115   11111111111111111111  20   
#  116   11111111111111111111  20   
#  117   11111111111111111111  20   
#  118   11111111111111111111  20   
#  119   11111111111111111111  20   
#  120   11111111111111111111  20   
#  121   11111111111111111111  20   
#  122   11111111111111111111  20   
#  123   11111111111111111111  20   
#  124   11111111111111111111  20   
#  125   11111111111111111111  20   
#  126   11111111111111111111  20   
#  127   11111111111111111111  20   
#  128   11111111111111111111  20   
#  129   11111111111111111111  20   
#  130   11111111111111111111  20   
#  131   11111111111111111111  20   
#  132   11111111111111111111  20   
#  133   11111111111111111111  20   
#  134   11111111111111111111  20   
#  135   11111111111111111111  20   
#  136   11111111111111111111  20   
#  137   11111111111111111111  20   
#  138   11111111111111111111  20   
#  139   11111111111111111111  20   
#  140   11111111111111111111  20   
#  141   11111111111111111111  20   
#  142   11111111111111111111  20   
#  143   11111111111111111111  20   
#  144   11111111111111111111  20   
#  145   11111111111111111111  20   
#  146   11111111111111111111  20   
#  147   11111111111111111111  20   
#  148   11111111111111111111  20   
#  149   11111111111111111111  20   
#  150   11111111111111111111  20   
#  151   11111111111111111111  20   
#  152   11111111111111111111  20   
#  153   11111111111111111111  20   
#  154   11111111111111111111  20   
#  155   11111111111111111111  20   
#  156   11111111111111111111  20   
#  157   11111111111111111111  20   
#  158   11111111111111111111  20   
#  159   11111111111111111111  20   
#  160   11111111111111111111  20   
#  161   11111111111111111111  20   
#  162   11111111111111111111  20   
#  163   11111111111111111111  20   
#  164   11111111111111111111  20   
#  165   11111111111111111111  20   
#  166   11111111111111111111  20   
#  167   11111111111111111111  20   
#  168   11111111111111111111  20   
#  169   11111111111111111111  20   
#  170   11111111111111111111  20   
#  171   11111111111111111111  20   
#  172   11111111111111111111  20   
#  173   11111111111111111111  20   
#  174   11111111111111111111  20   
#  175   11111111111111111111  20   
#  176   11111111111111111111  20   
#  177   11111111111111111111  20   
#  178   11111111111111111111  20   
#  179   11111111111111111111  20   
#  180   11111111111111111111  20   
#  181   11111111111111111111  20   
#  182   11111111111111111111  20   
#  183   11111111111111111111  20   
#  184   11111111111111111111  20   
#  185   11111111111111111111  20   
#  186   11111111111111111111  20   
#  187   11111111111111111111  20   
#  188   11111111111111111111  20   
#  189   11111111111111111111  20   
#  190   11010111111110111111  17   
#  191   11111111111111111111  20   
#  192   11111111111111111111  20   
#  193   11111111111111111111  20   
#  194   11111111111111111111  20   
#  195   11111111111111111111  20   
#  196   11111111111111111111  20   
#  197   11111111111111111111  20   
#  198   11111111111111111111  20   
#  199   11111111111111111111  20   
#  200   11111111111111111111  20   
#  201   11111111111111111111  20   
#  202   11111111111111111111  20   
#  203   11111111111111111111  20   
#  204   11111111111111111111  20   
#  205   11111111111111111111  20   
#  206   11111111111111111111  20   
#  207   11111111111111111111  20   
#  208   11111111111111111111  20   
#  209   11111111111111111111  20   
#  210   11111111111111111111  20   
#  211   11111111111111111111  20   
#  212   11111111111111111111  20   
#  213   11111111111111111111  20   
#  214   11111111111111111111  20   
#  215   11111111111111111111  20   
#  216   11111111111111111111  20   
#  217   11111111111111111111  20   
#  218   11111111111111111111  20   
#  219   11111111111111111111  20   
#  220   11111111111111111111  20   
#  221   11111111111111111111  20   
#  222   11111111111111111111  20   
#  223   11111111111111111111  20   
#  224   11111111111111111111  20   
#  225   11111111111111111111  20   
#  226   11111111111111111111  20   
#  227   11111111111111111111  20   
#  228   11111111111111111111  20   
#  229   11111111111111111111  20   
#  230   10000000000000000000   1   
#  231   11110111111111111111  19   
#  232   11111111111111111111  20   
#  233   11111111111111111111  20   
#  234   11111111111111111111  20   
#  235   11111111111111111111  20   
#  236   11111111111111111111  20   
#  237   11111111111111111111  20   
#  238   11111111111111111111  20   
#  239   11111111111111111111  20   
#  240   11111111111111111111  20   
#  241   11110111111111111111  19   
#  242   11111111111111111111  20   
#  243   11111111111111111111  20   
#  244   11111111111111111111  20   
#  245   11111111111111111111  20   
#  246   11111111111111111111  20   
#  247   11111111111111111111  20   
#  248   11111111111111111111  20   
#  249   11111111111111111111  20   
#  250   11111111111111111111  20   
#  251   11111111111111111111  20   
#  252   11111111111111111111  20   
#  253   11111111111111111111  20   
#  254   11111111111111111111  20   
#  255   11111111111111111111  20   
#  256   11111111111111111111  20   
#  257   11111111111111111111  20   
#  258   11111111111111111111  20   
#  259   11111111111111111111  20   
#  260   11111111111111111111  20   
#  261   11111111111111111111  20   
#  262   11111111111111111111  20   
#  263   11111111111111111111  20   
#  264   11111111111111111111  20   
#  265   11111111111111111111  20   
#  266   11111111111111111111  20   
#  267   11111111111111111111  20   
#  268   11111111111111111111  20   
#  269   11111111111111111111  20   
#  270   11111111111111111111  20   
#  271   11111111111111111111  20   
#  272   10000000000000000000   1   
#  273   10111001111010111110  14   
#  274   11111111111111111111  20   
#  275   11111111111111111111  20   
#  276   11111111111111111111  20   
#  277   11111111111111110111  19   
#  278   11111111111111111111  20   
#  279   11111111111111111111  20   
#  280   11111111111111111111  20   
#  281   11111111111111111111  20   
#  282   11111111111111111111  20   
#  283   11111111111111111111  20   
#  284   11111111111111111111  20   
#  285   11111111111111111111  20   
#  286   11111111111111111111  20   
#  287   11111111111111111111  20   
#  288   11111111111111111111  20   
#  289   11111111111111111111  20   
#  290   11111111111111111111  20   
#  291   11111111111111111111  20   
#  292   11111111111111111111  20   
#  293   11111111111111111111  20   
#  294   11111111111111111111  20   
#  295   11111111111111101111  19   
#  296   11111111111111111111  20   
#  297   11111111111111111111  20   
#  298   11010001111100001101  11   
#  299   11111111111111111111  20   
#  300   11111111111111111111  20   
#  301   11111111111111111111  20   
#  302   11111111111111111111  20   
#  303   11111111111111111111  20   
#  304   11111111111111111111  20   
#  305   11111111111111111111  20   
#  306   11111111111111111111  20   
#  307   11111111111111111111  20   
